,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
450,22,2024-02-03,,La Salle,St. Joseph's,L,82,88,28,69,.406,14,34,.412,12,17,.706,11,32,18,9,5,6,22,,26,55,.473,10,21,.476,26,33,.788,10,38,11,3,3,12,14
451,23,2024-02-07,,La Salle,Saint Louis,L,84,102,26,66,.394,10,28,.357,22,29,.759,11,30,13,4,1,10,19,,36,64,.563,9,20,.450,21,25,.840,9,32,15,8,2,10,23
452,24,2024-02-10,@,La Salle,Richmond,L,65,82,27,58,.466,6,20,.300,5,9,.556,5,32,9,2,1,13,20,,29,56,.518,7,16,.438,17,18,.944,1,29,12,6,4,4,13
453,25,2024-02-13,@,La Salle,Davidson,L,56,71,22,59,.373,4,19,.211,8,12,.667,6,33,7,3,2,12,17,,27,65,.415,4,19,.211,13,18,.722,11,41,11,10,8,7,15
454,26,2024-02-17,,La Salle,UMass,W,82,81,28,59,.475,9,21,.429,17,22,.773,9,35,18,6,4,10,19,,25,59,.424,8,27,.296,23,28,.821,8,34,13,6,4,7,17
455,27,2024-02-21,,La Salle,St. Bonaventure,W,72,59,26,51,.510,10,24,.417,10,14,.714,3,27,20,7,2,8,13,,21,48,.438,6,17,.353,11,16,.688,3,20,15,3,1,9,14
456,28,2024-02-25,,La Salle,Rhode Island,W,84,61,31,61,.508,12,26,.462,10,13,.769,4,31,18,8,6,9,14,,25,62,.403,6,22,.273,5,9,.556,6,28,10,5,2,14,15
457,29,2024-02-28,@,La Salle,Duquesne,L,63,75,25,61,.410,6,21,.286,7,9,.778,12,30,17,5,4,12,14,,30,60,.500,7,18,.389,8,14,.571,12,32,19,6,5,9,10
458,30,2024-03-02,,La Salle,George Washington,W,72,66,28,65,.431,7,21,.333,9,11,.818,10,29,12,8,1,3,8,,24,51,.471,7,18,.389,11,14,.786,4,28,6,1,5,8,10
459,31,2024-03-09,@,La Salle,Loyola (IL),L,54,64,23,59,.390,6,18,.333,2,4,.500,7,30,13,4,7,14,21,,22,58,.379,7,19,.368,13,24,.542,12,34,11,7,7,11,13
460,32,2024-03-12,N,La Salle,George Washington,W,61,60,24,67,.358,8,23,.348,5,8,.625,10,36,10,7,2,4,17,,17,49,.347,10,23,.435,16,24,.667,6,40,13,4,2,10,13
461,33,2024-03-13,N,La Salle,St. Bonaventure,L,73,75,26,53,.491,7,16,.438,14,17,.824,6,26,14,3,3,9,19,,25,58,.431,6,15,.400,19,24,.792,11,29,12,6,5,5,14
462,1,2023-11-06,,Fordham,Wagner,W (1 OT),68,64,26,61,.426,8,27,.296,8,19,.421,13,37,14,5,7,10,15,,24,62,.387,4,17,.235,12,17,.706,12,36,5,7,5,11,20
463,2,2023-11-11,,Fordham,Cornell,L,73,78,25,56,.446,9,28,.321,14,25,.560,10,25,10,9,0,14,23,,27,50,.540,7,18,.389,17,27,.630,8,30,12,9,4,20,23
464,3,2023-11-17,N,Fordham,Norfolk State,W,77,64,20,48,.417,7,23,.304,30,42,.714,8,38,14,7,5,17,30,,17,54,.315,4,19,.211,26,37,.703,12,32,10,11,1,16,25
465,4,2023-11-19,N,Fordham,Abilene Christian,L,45,59,16,54,.296,1,12,.083,12,21,.571,16,41,3,5,3,19,16,,22,55,.400,3,12,.250,12,17,.706,6,29,9,11,1,9,19
466,5,2023-11-20,N,Fordham,Kent State,L,72,79,21,58,.362,9,27,.333,21,35,.600,15,31,9,10,2,19,25,,22,51,.431,6,18,.333,29,35,.829,9,32,12,12,3,20,27
