,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
19,20,2024-01-27,@,UMass,Saint Louis,W,84,73,29,61,.475,7,22,.318,19,23,.826,11,35,13,8,5,6,14,,24,55,.436,11,25,.440,14,16,.875,5,24,16,5,1,12,19
20,,,,UMass,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
21,G,Date,,UMass,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
22,21,2024-02-03,,UMass,George Mason,W,66,65,21,54,.389,7,22,.318,17,24,.708,16,37,13,9,4,16,19,,22,53,.415,7,18,.389,14,19,.737,9,23,14,10,1,13,22
23,22,2024-02-07,@,UMass,St. Bonaventure,L,73,79,28,58,.483,6,18,.333,11,16,.688,8,29,16,6,1,12,24,,27,53,.509,6,17,.353,19,28,.679,8,28,12,7,5,11,15
24,23,2024-02-11,,UMass,Rhode Island,W,81,79,31,64,.484,11,28,.393,8,18,.444,8,31,20,9,2,9,13,,29,61,.475,8,15,.533,13,16,.813,6,24,15,6,3,12,18
25,24,2024-02-14,@,UMass,Richmond,W,69,59,21,55,.382,6,22,.273,21,24,.875,9,44,10,3,4,11,17,,18,54,.333,7,25,.280,16,25,.640,4,26,8,8,2,6,18
26,25,2024-02-17,@,UMass,La Salle,L,81,82,25,59,.424,8,27,.296,23,28,.821,8,34,13,6,4,7,17,,28,59,.475,9,21,.429,17,22,.773,9,35,18,6,4,10,19
27,26,2024-02-20,,UMass,VCU,W,74,52,28,59,.475,8,25,.320,10,12,.833,9,39,18,11,2,10,13,,17,56,.304,8,25,.320,10,12,.833,10,31,11,7,3,13,11
28,27,2024-02-24,,UMass,St. Bonaventure,L,67,75,23,57,.404,7,25,.280,14,22,.636,12,29,14,6,2,14,17,,27,57,.474,6,16,.375,15,19,.789,11,33,16,7,2,10,18
29,28,2024-02-27,@,UMass,George Washington,W,69,57,30,58,.517,8,24,.333,1,4,.250,7,29,18,8,2,13,10,,21,52,.404,6,28,.214,9,12,.750,9,25,10,10,0,12,7
30,29,2024-03-02,@,UMass,Davidson,W,69,67,24,67,.358,5,24,.208,16,23,.696,18,42,8,4,4,9,16,,27,56,.482,2,14,.143,11,17,.647,5,29,15,4,13,10,18
31,30,2024-03-06,,UMass,Fordham,W,66,64,22,52,.423,7,19,.368,15,24,.625,6,33,10,1,3,7,19,,23,65,.354,7,28,.250,11,19,.579,15,34,13,4,2,6,21
32,31,2024-03-14,N,UMass,VCU,L,59,73,19,54,.352,7,24,.292,14,19,.737,10,25,12,3,2,9,23,,22,44,.500,6,17,.353,23,30,.767,9,30,16,8,3,12,19
33,1,2023-11-06,,Duquesne,Cleveland State,W,79,77,26,62,.419,9,27,.333,18,33,.545,15,41,17,5,2,11,20,,28,64,.438,9,20,.450,12,19,.632,14,39,10,7,6,12,25
34,2,2023-11-10,N,Duquesne,College of Charleston,W,90,72,33,67,.493,11,34,.324,13,13,1.000,5,30,17,10,6,13,23,,23,58,.397,7,27,.259,19,30,.633,10,34,15,8,1,16,17
35,3,2023-11-13,,Duquesne,Stony Brook,W,85,63,32,64,.500,13,28,.464,8,11,.727,14,43,15,8,5,12,14,,22,66,.333,12,29,.414,7,12,.583,12,29,9,5,5,9,11
36,4,2023-11-15,,Duquesne,Princeton,L,67,70,23,53,.434,7,21,.333,14,17,.824,8,24,11,7,4,13,15,,27,50,.540,7,20,.350,9,10,.900,4,23,12,6,1,12,17
37,5,2023-11-17,,Duquesne,Rider,W,77,58,26,57,.456,12,31,.387,13,21,.619,7,38,15,6,14,11,20,,21,66,.318,4,15,.267,12,22,.545,12,36,8,6,3,10,16
38,6,2023-11-22,@,Duquesne,Nebraska,L,79,89,28,63,.444,8,29,.276,15,17,.882,13,36,8,1,4,6,24,,26,53,.491,9,24,.375,28,31,.903,7,27,18,1,2,2,13
39,7,2023-11-29,,Duquesne,UC-Irvine,W,66,62,24,58,.414,9,18,.500,9,15,.600,10,28,16,10,6,11,11,,22,54,.407,7,18,.389,11,11,1.000,7,34,13,5,3,19,20
40,8,2023-12-06,@,Duquesne,Marshall,W,85,72,24,54,.444,7,20,.350,30,41,.732,9,38,10,7,3,14,18,,26,70,.371,4,25,.160,16,24,.667,14,40,7,7,1,12,26
41,9,2023-12-08,,Duquesne,St. Peter's,W,68,59,20,51,.392,6,25,.240,22,28,.786,8,31,10,9,7,9,15,,21,50,.420,8,20,.400,9,14,.643,5,23,13,5,7,13,23
42,10,2023-12-18,N,Duquesne,Bradley,W,69,67,25,59,.424,5,19,.263,14,20,.700,12,26,8,12,1,9,12,,26,54,.481,8,18,.444,7,12,.583,13,34,10,6,8,16,16
43,11,2023-12-23,N,Duquesne,Santa Clara,L,73,81,21,54,.389,12,32,.375,19,31,.613,10,28,12,7,1,12,29,,26,53,.491,8,15,.533,21,29,.724,7,27,14,4,2,12,22
44,12,2023-12-30,,Duquesne,,W,95,47,36,69,.522,8,22,.364,15,18,.833,18,46,21,12,2,15,13,,17,51,.333,8,25,.320,5,9,.556,5,21,14,7,5,20,12
45,13,2024-01-03,@,Duquesne,UMass,L,61,80,21,58,.362,6,22,.273,13,22,.591,12,30,11,7,0,14,23,,27,51,.529,2,10,.200,24,34,.706,7,33,13,6,3,12,20
46,14,2024-01-06,@,Duquesne,Loyola (IL),L,67,72,26,66,.394,6,21,.286,9,13,.692,10,37,16,9,4,17,21,,27,54,.500,4,16,.250,14,21,.667,5,32,19,6,3,21,15
47,15,2024-01-12,,Duquesne,Dayton,L,62,72,25,62,.403,8,30,.267,4,5,.800,9,25,10,10,4,13,14,,25,53,.472,7,19,.368,15,19,.789,10,34,14,7,4,15,10
48,16,2024-01-16,,Duquesne,Richmond,L,61,63,24,57,.421,6,19,.316,7,11,.636,6,27,14,4,2,9,13,,24,50,.480,5,15,.333,10,14,.714,6,30,14,6,6,10,13
49,17,2024-01-20,@,Duquesne,St. Joseph's,L,69,71,24,58,.414,9,24,.375,12,14,.857,8,31,10,6,5,11,18,,26,55,.473,7,17,.412,12,19,.632,8,31,11,7,3,10,16
50,18,2024-01-23,,Duquesne,St. Bonaventure,W,54,50,15,49,.306,7,21,.333,17,30,.567,12,38,11,10,8,13,17,,16,59,.271,2,13,.154,16,24,.667,13,36,4,9,3,16,23
51,19,2024-01-27,,Duquesne,Fordham,W,68,59,24,51,.471,1,13,.077,19,30,.633,2,27,13,4,7,8,22,,21,57,.368,4,22,.182,13,24,.542,13,39,11,5,3,12,22
52,20,2024-01-31,,Duquesne,Chicago State,W,65,60,23,62,.371,3,20,.150,16,25,.640,15,36,11,10,4,10,18,,22,54,.407,7,17,.412,9,16,.563,11,35,11,4,6,17,17
53,,,,Duquesne,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
54,G,Date,,Duquesne,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
55,21,2024-02-03,@,Duquesne,Rhode Island,W,85,71,28,53,.528,14,27,.519,15,17,.882,5,28,20,5,6,13,18,,26,58,.448,5,18,.278,14,20,.700,7,23,12,6,2,10,17
56,22,2024-02-07,,Duquesne,Davidson,L,59,72,21,52,.404,5,19,.263,12,20,.600,8,29,7,6,4,9,19,,23,53,.434,8,26,.308,18,20,.900,7,34,16,6,5,8,22
57,23,2024-02-10,@,Duquesne,St. Bonaventure,W,75,69,27,59,.458,6,21,.286,15,21,.714,8,34,16,3,2,8,19,,22,55,.400,5,15,.333,20,26,.769,7,34,8,4,3,9,19
58,24,2024-02-13,@,Duquesne,Dayton,L,59,75,26,52,.500,6,20,.300,1,3,.333,4,26,18,4,4,11,17,,26,55,.473,7,22,.318,16,23,.696,7,29,12,6,3,4,10
59,25,2024-02-17,,Duquesne,St. Joseph's,W,66,56,23,52,.442,9,18,.500,11,13,.846,9,36,16,7,5,16,14,,18,56,.321,9,37,.243,11,17,.647,12,34,12,12,4,12,15
60,26,2024-02-20,,Duquesne,Saint Louis,W,81,66,28,55,.509,9,26,.346,16,19,.842,4,31,15,12,7,15,14,,24,58,.414,7,25,.280,11,15,.733,4,26,17,10,3,12,17
61,27,2024-02-23,@,Duquesne,Fordham,L,67,79,19,55,.345,6,16,.375,23,27,.852,7,23,10,12,4,11,20,,27,52,.519,8,19,.421,17,24,.708,12,39,18,9,9,16,22
62,28,2024-02-28,,Duquesne,La Salle,W,75,63,30,60,.500,7,18,.389,8,14,.571,12,32,19,6,5,9,10,,25,61,.410,6,21,.286,7,9,.778,12,30,17,5,4,12,14
63,29,2024-03-02,@,Duquesne,George Mason,W,59,51,19,39,.487,3,15,.200,18,22,.818,3,26,9,12,3,18,21,,18,48,.375,4,20,.200,11,19,.579,10,26,8,10,2,15,19
64,30,2024-03-05,@,Duquesne,VCU,W,69,59,24,57,.421,10,28,.357,11,12,.917,9,30,11,8,0,10,15,,21,49,.429,8,22,.364,9,14,.643,6,28,11,7,2,14,16
65,31,2024-03-09,,Duquesne,George Washington,W,67,65,26,57,.456,4,12,.333,11,11,1.000,8,32,10,8,6,11,9,,25,55,.455,7,19,.368,8,9,.889,7,27,15,7,6,12,11
66,32,2024-03-13,N,Duquesne,Saint Louis,W,83,73,31,61,.508,10,22,.455,11,20,.550,6,28,22,9,3,5,22,,21,45,.467,8,20,.400,23,30,.767,4,28,10,3,3,13,18
67,33,2024-03-14,N,Duquesne,Dayton,W,65,57,24,57,.421,7,22,.318,10,13,.769,8,39,11,4,6,11,19,,16,50,.320,7,26,.269,18,25,.720,7,26,10,4,3,7,13
68,34,2024-03-16,N,Duquesne,St. Bonaventure,W,70,60,27,53,.509,10,21,.476,6,7,.857,3,27,17,4,6,10,9,,23,57,.404,6,24,.250,8,11,.727,8,29,11,7,4,9,11
69,35,2024-03-17,N,Duquesne,VCU,W,57,51,17,57,.298,8,25,.320,15,21,.714,17,38,13,12,2,10,14,,17,47,.362,5,24,.208,12,14,.857,6,30,9,10,9,15,16
70,36,2024-03-21,N,Duquesne,BYU,W,71,67,26,56,.464,7,18,.389,12,16,.750,5,27,13,7,7,9,17,,22,57,.386,8,24,.333,15,17,.882,8,32,16,6,2,11,18
71,37,2024-03-23,N,Duquesne,Illinois,L,63,89,25,61,.410,5,17,.294,8,10,.800,12,25,14,4,1,9,17,,35,59,.593,7,21,.333,12,17,.706,10,31,17,6,1,7,12
72,1,2023-11-06,,St. Bonaventure,Longwood,W,73,69,27,59,.458,11,31,.355,8,10,.800,7,27,17,3,6,8,18,,24,61,.393,3,17,.176,18,25,.720,18,40,8,4,2,12,14
73,2,2023-11-11,,St. Bonaventure,Canisius,L,67,70,23,57,.404,4,20,.200,17,26,.654,11,32,7,9,5,11,13,,27,54,.500,12,24,.500,4,7,.571,3,26,16,5,3,17,19
74,3,2023-11-16,N,St. Bonaventure,Oklahoma State,W,66,64,21,51,.412,6,19,.316,18,21,.857,11,32,9,8,1,11,16,,23,52,.442,7,23,.304,11,18,.611,11,28,16,4,1,14,19
75,4,2023-11-17,N,St. Bonaventure,Auburn,L,60,77,23,58,.397,3,24,.125,11,13,.846,9,27,12,5,1,14,20,,25,52,.481,8,24,.333,19,27,.704,10,32,20,4,3,13,17
76,5,2023-11-22,,St. Bonaventure,Bucknell,W,67,61,23,56,.411,10,28,.357,11,13,.846,10,29,19,8,5,12,14,,20,46,.435,9,24,.375,12,15,.800,3,24,13,4,2,13,16
77,6,2023-11-25,,St. Bonaventure,Miami (OH),W,90,60,36,65,.554,11,25,.440,7,8,.875,13,40,20,4,6,9,14,,22,56,.393,7,27,.259,9,10,.900,5,19,13,0,1,10,11
78,7,2023-12-02,@,St. Bonaventure,Buffalo,W,80,65,28,58,.483,10,24,.417,14,19,.737,10,34,20,7,7,12,16,,22,58,.379,2,17,.118,19,27,.704,13,34,11,8,5,11,17
79,8,2023-12-06,@,St. Bonaventure,Niagara,W,94,60,38,57,.667,12,19,.632,6,9,.667,8,30,14,4,3,8,18,,19,48,.396,7,21,.333,15,18,.833,2,13,10,3,0,9,11
80,9,2023-12-09,,St. Bonaventure,Siena,W,89,56,32,58,.552,10,24,.417,15,20,.750,8,33,13,7,4,6,15,,21,55,.382,6,21,.286,8,15,.533,7,28,10,2,4,14,16
81,10,2023-12-16,N,St. Bonaventure,Florida Atlantic,L,54,64,20,48,.417,7,18,.389,7,11,.636,2,28,13,8,4,20,17,,23,56,.411,5,20,.250,13,23,.565,9,35,12,9,1,12,14
82,11,2023-12-22,,St. Bonaventure,Binghamton,W,90,64,32,58,.552,10,21,.476,16,18,.889,8,33,18,8,3,10,16,,26,55,.473,3,15,.200,9,14,.643,4,23,16,5,1,13,14
83,12,2023-12-30,N,St. Bonaventure,Akron,W,62,61,24,63,.381,4,15,.267,10,13,.769,15,35,7,10,4,7,19,,21,48,.438,7,21,.333,12,19,.632,7,30,12,3,3,12,13
84,13,2024-01-03,@,St. Bonaventure,VCU,W,89,78,28,58,.483,12,22,.545,21,27,.778,9,33,11,5,3,7,17,,28,56,.500,8,21,.381,14,18,.778,5,28,15,3,7,11,18
85,14,2024-01-06,@,St. Bonaventure,Richmond,L,54,65,19,49,.388,5,17,.294,11,14,.786,5,30,5,4,1,14,15,,24,55,.436,5,21,.238,12,18,.667,9,34,16,11,4,6,11
86,15,2024-01-13,,St. Bonaventure,Fordham,L,74,80,24,60,.400,6,18,.333,20,22,.909,6,33,8,4,2,9,18,,28,55,.509,9,25,.360,15,23,.652,6,33,13,3,5,8,21
87,16,2024-01-17,,St. Bonaventure,Rhode Island,W,99,64,38,66,.576,11,24,.458,12,17,.706,7,25,22,9,8,4,19,,22,54,.407,6,19,.316,14,22,.636,9,33,11,3,0,18,16
88,17,2024-01-20,@,St. Bonaventure,George Mason,L,60,69,21,59,.356,7,25,.280,11,12,.917,11,30,6,4,3,10,23,,23,49,.469,7,21,.333,16,23,.696,7,29,10,3,1,12,14
89,18,2024-01-23,@,St. Bonaventure,Duquesne,L,50,54,16,59,.271,2,13,.154,16,24,.667,13,36,4,9,3,16,23,,15,49,.306,7,21,.333,17,30,.567,12,38,11,10,8,13,17
90,19,2024-01-26,,St. Bonaventure,St. Joseph's,W,91,72,36,62,.581,12,27,.444,7,8,.875,6,24,23,11,6,6,7,,30,58,.517,10,24,.417,2,2,1.000,8,28,16,4,2,15,8
91,20,2024-01-30,,St. Bonaventure,VCU,W,67,62,21,59,.356,5,22,.227,20,23,.870,14,39,8,6,4,9,13,,21,53,.396,11,29,.379,9,11,.818,3,27,11,3,2,11,18
92,,,,St. Bonaventure,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
93,G,Date,,St. Bonaventure,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
94,21,2024-02-02,@,St. Bonaventure,Dayton,L,71,76,28,66,.424,10,30,.333,5,8,.625,11,33,13,4,1,6,22,,25,51,.490,3,15,.200,23,29,.793,8,30,11,2,7,6,11
95,22,2024-02-07,,St. Bonaventure,UMass,W,79,73,27,53,.509,6,17,.353,19,28,.679,8,28,12,7,5,11,15,,28,58,.483,6,18,.333,11,16,.688,8,29,16,6,1,12,24
96,23,2024-02-10,,St. Bonaventure,Duquesne,L,69,75,22,55,.400,5,15,.333,20,26,.769,7,34,8,4,3,9,19,,27,59,.458,6,21,.286,15,21,.714,8,34,16,3,2,8,19
97,24,2024-02-14,@,St. Bonaventure,Fordham,W,85,67,30,50,.600,12,18,.667,13,20,.650,6,26,18,6,4,16,15,,23,54,.426,8,25,.320,13,18,.722,7,23,13,10,4,12,19
98,25,2024-02-17,,St. Bonaventure,Davidson,W (1 OT),81,80,26,46,.565,6,15,.400,23,30,.767,4,25,14,9,3,12,18,,29,59,.492,9,24,.375,13,18,.722,9,28,14,6,1,13,21
99,26,2024-02-21,@,St. Bonaventure,La Salle,L,59,72,21,48,.438,6,17,.353,11,16,.688,3,20,15,3,1,9,14,,26,51,.510,10,24,.417,10,14,.714,3,27,20,7,2,8,13
100,27,2024-02-24,@,St. Bonaventure,UMass,W,75,67,27,57,.474,6,16,.375,15,19,.789,11,33,16,7,2,10,18,,23,57,.404,7,25,.280,14,22,.636,12,29,14,6,2,14,17
101,28,2024-02-27,,St. Bonaventure,Loyola (IL),W,79,64,23,51,.451,7,17,.412,26,29,.897,5,35,10,8,7,14,19,,21,55,.382,10,31,.323,12,21,.571,7,31,17,7,2,18,22
102,29,2024-03-06,@,St. Bonaventure,George Washington,L,75,86,27,56,.482,11,24,.458,10,12,.833,4,21,11,7,1,7,21,,27,46,.587,15,29,.517,17,23,.739,4,26,19,6,3,12,10
103,30,2024-03-09,,St. Bonaventure,Saint Louis,L,65,73,22,55,.400,8,25,.320,13,21,.619,5,23,8,8,7,9,13,,27,58,.466,9,25,.360,10,12,.833,12,41,14,6,1,12,17
104,31,2024-03-13,N,St. Bonaventure,La Salle,W,75,73,25,58,.431,6,15,.400,19,24,.792,11,29,12,6,5,5,14,,26,53,.491,7,16,.438,14,17,.824,6,26,14,3,3,9,19
105,32,2024-03-14,N,St. Bonaventure,Loyola (IL),W (2 OT),75,74,22,60,.367,4,18,.222,27,31,.871,12,42,8,9,6,16,23,,25,75,.333,6,23,.261,18,27,.667,20,44,18,8,8,12,24
106,33,2024-03-16,N,St. Bonaventure,Duquesne,L,60,70,23,57,.404,6,24,.250,8,11,.727,8,29,11,7,4,9,11,,27,53,.509,10,21,.476,6,7,.857,3,27,17,4,6,10,9
107,1,2023-11-08,N,Loyola (IL),Florida Atlantic,L,62,75,22,51,.431,6,17,.353,12,19,.632,7,26,9,6,4,18,18,,26,56,.464,8,23,.348,15,21,.714,7,30,16,11,5,12,19
108,2,2023-11-11,,Loyola (IL),Eastern Illinois,W,89,65,32,54,.593,12,31,.387,13,17,.765,2,30,23,4,9,10,14,,24,69,.348,6,16,.375,11,15,.733,11,30,9,6,1,10,11
109,3,2023-11-14,,Loyola (IL),UIC,L,67,72,19,58,.328,6,25,.240,23,25,.920,6,31,12,9,3,12,19,,24,55,.436,10,24,.417,14,15,.933,5,31,15,7,8,16,17
110,4,2023-11-18,,Loyola (IL),New Orleans,W,73,70,25,58,.431,6,20,.300,17,24,.708,10,43,17,4,8,14,19,,23,66,.348,9,25,.360,15,22,.682,11,32,13,6,3,7,19
111,5,2023-11-22,N,Loyola (IL),Creighton,L,65,88,27,61,.443,6,15,.400,5,9,.556,5,24,11,6,4,10,18,,32,58,.552,14,27,.519,10,13,.769,7,36,16,2,5,10,10
112,6,2023-11-23,N,Loyola (IL),Boston College,W,71,68,22,53,.415,13,29,.448,14,18,.778,6,35,16,4,4,16,13,,27,64,.422,4,23,.174,10,11,.909,5,29,11,9,3,8,15
113,7,2023-11-28,,Loyola (IL),Chicago State,W,62,53,19,43,.442,7,23,.304,17,24,.708,7,27,15,7,5,12,16,,17,52,.327,5,13,.385,14,16,.875,8,24,8,8,2,14,21
114,8,2023-12-02,,Loyola (IL),Harvard,W,75,53,30,68,.441,9,28,.321,6,13,.462,8,44,23,7,6,9,25,,13,53,.245,4,21,.190,23,35,.657,7,34,8,5,3,11,13
115,9,2023-12-05,@,Loyola (IL),Tulsa,L,77,88,28,61,.459,13,34,.382,8,14,.571,5,26,16,9,4,20,28,,26,51,.510,14,29,.483,22,33,.667,4,30,14,11,2,18,16
116,10,2023-12-09,,Loyola (IL),Goshen,W,115,64,43,73,.589,16,35,.457,13,19,.684,14,44,33,11,5,9,20,,19,52,.365,7,19,.368,19,27,.704,4,19,13,3,0,17,16
117,11,2023-12-16,@,Loyola (IL),South Florida,L,64,77,24,56,.429,7,24,.292,9,14,.643,5,25,15,4,7,13,19,,27,53,.509,8,19,.421,15,23,.652,3,28,13,8,4,8,14
118,12,2023-12-19,,Loyola (IL),Charleston Southern,W,72,59,31,58,.534,4,15,.267,6,10,.600,6,33,18,4,5,5,15,,20,52,.385,5,17,.294,14,20,.700,5,27,9,4,4,6,10
119,13,2023-12-30,,Loyola (IL),Central Michigan,W,73,35,27,57,.474,8,22,.364,11,16,.688,9,45,21,5,7,13,15,,14,59,.237,1,12,.083,6,12,.500,8,31,6,6,4,11,14
120,14,2024-01-03,@,Loyola (IL),Saint Louis,W,80,73,28,55,.509,10,23,.435,14,23,.609,5,29,16,12,5,9,22,,28,66,.424,9,26,.346,8,19,.421,14,38,10,6,3,14,16
121,15,2024-01-06,,Loyola (IL),Duquesne,W,72,67,27,54,.500,4,16,.250,14,21,.667,5,32,19,6,3,21,15,,26,66,.394,6,21,.286,9,13,.692,10,37,16,9,4,17,21
122,16,2024-01-09,,Loyola (IL),Richmond,L,56,58,20,52,.385,8,22,.364,8,14,.571,3,35,13,9,3,15,16,,22,57,.386,10,22,.455,4,8,.500,2,30,15,6,3,11,14
123,17,2024-01-13,@,Loyola (IL),St. Joseph's,W,78,75,28,64,.438,10,27,.370,12,20,.600,9,34,13,7,4,16,23,,24,57,.421,9,25,.360,18,24,.750,5,27,12,10,4,11,16
124,18,2024-01-17,,Loyola (IL),UMass,W,79,78,26,56,.464,6,21,.286,21,31,.677,12,32,20,7,4,12,24,,24,58,.414,8,20,.400,22,31,.710,13,31,10,7,1,10,24
125,19,2024-01-20,@,Loyola (IL),Fordham,W,65,61,23,48,.479,4,10,.400,15,20,.750,8,30,10,6,1,14,21,,21,58,.362,6,20,.300,13,18,.722,11,30,10,7,5,10,18
126,20,2024-01-23,@,Loyola (IL),VCU,L,67,74,25,60,.417,4,20,.200,13,17,.765,9,28,10,7,6,9,21,,23,52,.442,9,15,.600,19,23,.826,6,32,12,7,0,12,16
127,,,,Loyola (IL),,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
128,G,Date,,Loyola (IL),Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
129,21,2024-01-30,,Loyola (IL),Saint Louis,W,77,62,26,55,.473,9,23,.391,16,19,.842,4,30,19,5,8,13,22,,20,56,.357,2,14,.143,20,28,.714,7,29,9,6,6,12,23
130,22,2024-02-04,,Loyola (IL),Davidson,W,76,63,25,54,.463,14,28,.500,12,20,.600,6,29,21,6,4,12,16,,24,61,.393,6,23,.261,9,13,.692,6,30,8,4,6,9,17
131,23,2024-02-07,@,Loyola (IL),George Mason,W,85,79,27,53,.509,11,26,.423,20,26,.769,4,15,14,7,3,6,26,,22,37,.595,9,17,.529,26,33,.788,4,25,9,3,2,17,23
132,24,2024-02-10,@,Loyola (IL),George Washington,W,81,73,30,69,.435,9,28,.321,12,14,.857,11,39,18,5,4,6,21,,21,60,.350,10,30,.333,21,27,.778,11,33,11,5,7,8,19
133,25,2024-02-14,,Loyola (IL),St. Joseph's,W,64,59,22,52,.423,7,20,.350,13,16,.813,9,36,19,6,5,14,18,,19,58,.328,7,29,.241,14,15,.933,7,23,9,7,8,8,17
134,26,2024-02-18,@,Loyola (IL),Rhode Island,W,77,67,28,61,.459,6,24,.250,15,17,.882,11,41,15,6,9,12,21,,25,56,.446,4,17,.235,13,22,.591,4,24,13,8,4,8,16
135,27,2024-02-24,,Loyola (IL),George Mason,W,80,59,30,54,.556,10,21,.476,10,20,.500,11,32,24,12,3,11,21,,18,54,.333,5,22,.227,18,24,.750,12,29,11,8,4,15,20
136,28,2024-02-27,@,Loyola (IL),St. Bonaventure,L,64,79,21,55,.382,10,31,.323,12,21,.571,7,31,17,7,2,18,22,,23,51,.451,7,17,.412,26,29,.897,5,35,10,8,7,14,19
137,29,2024-03-01,,Loyola (IL),Dayton,W,77,72,26,59,.441,11,27,.407,14,19,.737,4,24,20,15,7,11,19,,24,46,.522,7,15,.467,17,20,.850,2,27,10,8,7,20,16
138,30,2024-03-06,@,Loyola (IL),Davidson,W,69,59,24,53,.453,9,23,.391,12,21,.571,6,33,13,8,7,11,20,,21,55,.382,5,16,.313,12,17,.706,4,29,11,6,2,10,18
139,31,2024-03-09,,Loyola (IL),La Salle,W,64,54,22,58,.379,7,19,.368,13,24,.542,12,34,11,7,7,11,13,,23,59,.390,6,18,.333,2,4,.500,7,30,13,4,7,14,21
140,32,2024-03-14,N,Loyola (IL),St. Bonaventure,L (2 OT),74,75,25,75,.333,6,23,.261,18,27,.667,20,44,18,8,8,12,24,,22,60,.367,4,18,.222,27,31,.871,12,42,8,9,6,16,23
141,33,2024-03-20,@,Loyola (IL),Bradley,L,62,74,23,62,.371,6,25,.240,10,17,.588,14,35,8,7,2,12,19,,25,51,.490,4,15,.267,20,25,.800,8,33,12,6,7,12,15
142,1,2023-11-06,,George Mason,Monmouth,W,72,61,23,49,.469,9,20,.450,17,25,.680,8,40,13,5,7,16,14,,22,65,.338,9,25,.360,8,12,.667,10,28,10,9,4,12,21
143,2,2023-11-10,,George Mason,Austin Peay,W,67,45,21,53,.396,7,25,.280,18,25,.720,10,40,10,4,1,11,15,,17,59,.288,3,19,.158,8,10,.800,10,32,6,10,3,9,23
144,3,2023-11-15,,George Mason,Cornell,W,90,83,31,62,.500,9,22,.409,19,25,.760,13,34,13,8,5,11,18,,28,60,.467,14,29,.483,13,17,.765,10,29,16,8,2,13,22
145,4,2023-11-19,N,George Mason,Charlotte,L,49,54,16,48,.333,5,18,.278,12,15,.800,4,24,8,6,0,12,19,,17,46,.370,4,14,.286,16,20,.800,5,31,8,6,6,9,15
146,5,2023-11-20,N,George Mason,South Dakota State,W,73,71,27,59,.458,10,26,.385,9,10,.900,11,39,12,3,5,11,13,,29,60,.483,8,21,.381,5,12,.417,5,25,10,4,1,6,13
147,6,2023-11-25,,George Mason,East Carolina,W,81,59,32,55,.582,9,24,.375,8,11,.727,6,31,18,6,7,6,15,,20,58,.345,6,20,.300,13,21,.619,10,27,9,3,3,6,14
148,7,2023-11-29,,George Mason,NJIT,W,86,68,30,60,.500,9,16,.563,17,29,.586,13,41,16,7,1,9,16,,20,60,.333,12,30,.400,16,20,.800,9,33,11,4,3,10,25
149,8,2023-12-02,@,George Mason,Toledo,W,86,77,31,60,.517,8,15,.533,16,18,.889,12,36,12,6,5,13,24,,24,57,.421,5,14,.357,24,30,.800,10,27,9,8,7,9,19
