,Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS.1,TRB.1,AST.1,STL.1,BLK.1,PER,WS,BPM
229,210,Michael Walz,SO,C,Richmond,33,361,84,37,3,13,27,37,94,.513,.583,.300,.545,2.8,2.5,1.1,0.1,0.4,13.9,1.0,0.5
230,211,Desmond Watson,JR,G,Loyola (IL),33,1037,153,83,32,5,61,62,416,.407,.424,.386,.645,12.6,4.6,2.5,1.0,0.2,13.8,2.9,2.3
231,212,Liam Weaver,JR,G,Richmond,3,5,0,0,0,0,0,1,3,1.000,,1.000,,1.0,0.0,0.0,0.0,0.0,28.2,0.0,6.5
232,213,Tom Welch,SR,F,Loyola (IL),31,238,54,21,7,5,20,40,80,.509,.605,.214,.760,2.6,1.7,0.7,0.2,0.2,14.5,0.8,0.8
233,214,Zamoku Weluche-Ume,FR,F,George Washington,15,130,17,2,2,3,5,14,36,.361,.500,.273,.667,2.4,1.1,0.1,0.1,0.2,7.1,0.1,-6.8
234,215,Brandon Weston,SO,G,Rhode Island,27,523,67,38,14,8,23,57,145,.429,.440,.400,.782,5.4,2.5,1.4,0.5,0.3,12.0,1.1,-1.2
235,216,Roosevelt Wheeler,JR,F,Virginia Commonwealth,15,73,11,0,3,1,9,25,9,.571,.571,,.333,0.6,0.7,0.0,0.2,0.1,-3.1,0.0,-11.6
236,217,Tre Williams,SR,C,Duquesne,26,371,73,16,8,13,20,29,93,.443,.458,.200,.438,3.6,2.8,0.6,0.3,0.5,10.9,0.6,-1.3
237,218,Christian Winborne,SO,G,Saint Joseph's,4,55,8,5,1,0,4,5,13,.545,.714,.250,.000,3.3,2.0,1.3,0.3,0.0,8.7,0.1,-4.7
238,219,Tre Wood,SR,G,George Mason,22,160,15,11,3,0,14,14,45,.419,.452,.333,.500,2.0,0.7,0.5,0.1,0.0,5.7,0.1,-5.5
239,220,Marqui Worthy,FR,G,Massachusetts,25,283,15,21,7,4,14,34,50,.338,.455,.095,.308,2.0,0.6,0.8,0.3,0.2,2.3,0.0,-6.9
240,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced
241,Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
242,221,Always Wright,SO,G,Rhode Island,24,377,34,45,12,2,27,34,53,.365,.400,.318,.615,2.2,1.4,1.9,0.5,0.1,5.8,0.1,-5.7
243,222,Ryan Zan,SO,F,La Salle,30,323,59,7,16,8,11,50,94,.531,.603,.278,.600,3.1,2.0,0.2,0.5,0.3,14.3,0.8,-2.8
244,223,Bruce Zhang,FR,C,Saint Louis,30,287,59,9,3,17,25,51,69,.415,.415,,.682,2.3,2.0,0.3,0.1,0.6,7.1,-0.1,-6.8
